# scale_pdf := (lambda >= 0) ? ( pdf * (lambda^2 + pi^2) ) : ( pdf * sqrt(2 pi) * exp(sigma) / sqrt(sigma) )
# sigma := exp(-lambda-1)
lambda,scaled_pdf,error
-16.25,1.0000000099265391480916185433774400526810748848921101189875808183277103346263663677269144691233409815618156474573917026172504308854299780536445224836746463178698466143995,2.27107279e-167
-16.1875,1.000000010566745841578394629872738845955046031841526370037538944094165997900612026582427664852616635439532093160594158972189643274604176027822014143296189915397607564145,2.26464859e-167
-16.125,1.0000000112482423089987334047401435954448087109374789779026705647963966909702518331754133448852077034766763882454847845499038137093350027587525290905368099738077694120896,2.26303159e-167
-16.0625,1.00000001197369151060210874506208214025750379594586218226180549931852417471101887861001563488013553005434900023293249782743799081555748661665030821866850371092646280445,2.25525943e-167
-16,1.000000012745928152634764332752640860506119902001303222527663673373041639061750533757148526800943728055993682081390866004207379180544522699392585928906811426494418679444,2.25062126e-167
-15.9375,1.0000000135679697639803953121007238310680295091922576429808321937711547757092579822011652830367567673572651478479365364467647209576956523522159331524043943780995185817344,2.25201573e-167
-15.875,1.0000000144430284871795216898701563478036745936093244974375829852934782403794529156930784939115300828210829197818179185908095244964764534464633126586049250065212362378831,2.24678711e-167
-15.8125,1.0000000153745236299005871811959679992027385783615534047320016333352494965866166219137772405729610462001531452044250637132630582469902855510432475827587550497833176100484,2.25377839e-167
-15.75,1.0000000163660950259072148665925412500719214497223930298960179231247681514529617643544600601150220957049038286504527863452572504605970392897694384647424168698292088871595,2.24535341e-167
-15.6875,1.0000000174216172577290796869997436951836562617553114881733959013475041100773749638248088824655353447098223214283117225936725380255176696214103508971129432383031407651078,2.23890504e-167
-15.625,1.0000000185452147966108755793427564452509591836066063610357987771513955893742464698394802452943420487512317642986432561030083906545025067165938712704196507858361330932851,2.24303433e-167
-15.5625,1.0000000197412781188980169526392360312203571560923462636494460960777820963466857910193148317784555164711495340838036318081026913878265769983686193728543883032783066277246,2.24324864e-167
-15.5,1.00000002101448086183302350307320622097366526831773301310031448428579691330019652509600953550545098651335895031355585235710137925375405002167164996364071691562434843999,2.23579978e-167
-15.4375,1.0000000223697980857979003034471251713122948736155511911476763747432452777495027386593314654925800373837240891057218749727400506873816895044768481619166315548499813253116,2.23738483e-167
-15.375,1.0000000238125257143611090873177016002048458546085601708474028988857896150179629374309584500743795060269075788631205503016081078076710586044391276876206487280140540642782,2.23333564e-167
-15.3125,1.0000000253483012280898222255751837244521356846070758022395824327664122454107238050415401881368583068827457546406468037219204199338896313131781107459592106858333337078286,2.23301610e-167
-15.25,1.00000002698312569298703769991569820723061723150152879242116828982145719061166652103200373780771910694994932707790336191581624408351485078206327808966429329396211931261,2.23167621e-167
-15.1875,1.0000000287233872096279503487878872123450993462929451410602028109340084274799030832610416743695096878576431067263603938215550761959356319221443008254485463813714146589725,2.22981779e-167
-15.125,1.0000000305758858746210947606370508247874533685824411347736431272168889965689117262675448296178865406166093856642354721741528373999460592981556066629783585850946381085323,2.22870971e-167
-15.0625,1.0000000325478603519288849532390256006637836599474362428537696908534083396597352476354197226194203306638985223718263586222773522025905012291438633167745801377447781965576,2.22622540e-167
-15,1.0000000346470161578723601850485744590063832195464620163856732914595678916917845793913318120522469919125236002777567332930549615754239937216745668952186288594195790385437,2.22760941e-167
-14.9375,1.0000000368815557703407780380192681076312829940553176808977611611415323216824688578393780881376704064663302714692284658248393748068137147413898106560372132810310854732978,2.22235414e-167
-14.875,1.0000000392602106798543327272939986762041546943406806878568659646779350803097584224982052709193052996733472024550311499673082846296979821060120619538346635733088753292526,2.22341893e-167
-14.8125,1.0000000417922755077155622666704674525175225878448082517689027661301744611507560182469772889764387663770241124299177021674682007446526011335120878810662464966488881611944,2.22347451e-167
-14.75,1.0000000444876443245615815662229771803158510776769778964404422374632369025422752161919653781041711725290104738994118324632795809414250629485354360660028240547550147981414,2.22246892e-167
-14.6875,1.0000000473568493112266894382597246199546128960613456691593299347533595656733964141738947163327716314850304714731537097172682304557344845294353793327122694369177613990502,2.22067163e-167
-14.625,1.0000000504111019129767294093878036464140899183881897791931450445782905772177382369391429256090430843671027125539436947609681239204489264184974818103737622091297478648221,2.31106369e-167
-14.5625,1.0000000536623366479185856968851929342880357489002061377408661303967852506150447861633207075694587394202135175223477522048901239121143768627959425590202792452342317740406,2.30140021e-167
-14.5,1.000000057123257740758419664551824990982798005808201242039266781025147676878241592898837319218432076990198012204787367084458399817521051096308860356762202144601689243376,2.28843891e-167
-14.4375,1.0000000608073887641212043969141381229336686289326329680066142422338669362908010181381262445949823568345781602188786291769010441088604852922107125706941936292194373255034,2.27733480e-167
-14.375,1.0000000647291254813949125309359612248704967860523682252094089888813567305329424078101240780108154867410624498843766518150649353275259276412513511555559371586487598013057,2.26342548e-167
-14.3125,1.0000000689037920975712511069139680201733412486801025802047238353707422807549598578543567197803961208908630266089383801144689816505684725529946629200566722277230891241713,2.24921568e-167
-14.25,1.0000000733477011378699710444273969557640187439108357196958024624057195720923578766386443931062342783888447483314542859138384421270930062272904819254330492994304173781057,2.23575004e-167
-14.1875,1.000000078078217188107510702412309694488798066858791034548507100649954753583131846128267163561528130890988608831902280373112258170710566626311147074364463902696154215545,2.21999623e-167
-14.125,1.0000000831138247458584171091533317290488699806611330770813700074844715136408919385624840706245219513978649774005566620050077877458595564854779177514565111975986150348119,2.21412834e-167
-14.0625,1.0000000884742004475185464201776701233544979995886856008002025133232418666270176034889635472854990586832031003986704960719758646275854238742877914464326430196396743611019,2.22875428e-167
-14,1.0000000941802899534751955664072755146495197405189485104077587739266450245230088466284638478762119843677005124662164116087661592726585687071394586242651988369067903448244,2.24360222e-167
-13.9375,1.0000001002543897917878199666396455356268485314047106950185116983337816951869410797339441310586185140665522357998508478946115526980504335397617532930380763146037203704067,2.25982420e-167
-13.875,1.000000106720234480154909347052998086732220712568277687739140207666561115455028874664236273755571343245711372459234144277168046162163987382963653055147259753491253837183,2.27733038e-167
-13.8125,1.0000001136030892665635654641831932136942453365226853885593372336738462840410501329170264685710902079863227104852420489871681063248788239016961312206791478507446181459394,2.29463493e-167
-13.75,1.0000001209298488509688654660576105491029600773501683727706511329686960613070919236675509101098949352023451143616955449797139943210173214633925635995862517487991555233989,2.19471685e-167
-13.6875,1.0000001287291424737159032379978593082135406886874205010882438043012718531255560131359104762395264070746095289938819263107515811162850857962200674351392931272215297578334,2.19125163e-167
-13.625,1.000000137031445781289699498557689960547883748380023362760991372104989375266556902832291469019051079940199035295870018875913088894622437475730179183341956021668777035902,2.18807351e-167
-13.5625,1.0000001458691999064540565925207133259138973401611345410056300692945343888183565926170232697798029097282702990940949417762968202710425121048174994972508945774822315803166,2.18380383e-167
-13.5,1.0000001552769382280232566171535067576950429509264594004929753724586579038971261210500137441424903144840911578873971510232256612218083304455326351602433445842793809720338,2.17983799e-167
-13.4375,1.000000165291421305510268463425836666035394086880068086559143460909494927194503273692956181528989863385143064753263660555031500777153186424235508717524316682933293115025,2.17517474e-167
-13.375,1.0000001759517805158289313116520608892209888690950857346435298903398490620328354831568194442184882342347851470020915055646859621668379305238628344872049025873601810345654,2.17020836e-167
-13.3125,1.0000001872996709532200492936910237067424036426268089981395075594962782441715042017200004518911519929078310289687064456709076809296557636400737264076037828076120724366431,2.16496847e-167
-13.25,1.0000001993794341897551186917401627963451702671782760318640765221701340390660251110783772715839473841094122969590329457572213802534602445041090031030217151265705142440064,2.15952280e-167
-13.1875,1.0000002122382715322877091837236553646861050394047286131053124809524040192040176586457962434478424924046540155347880043486971578477619319929901951731461079841075721174242,2.15449599e-167
-13.125,1.0000002259264284527216166608339369509870550933413604117011978643495109581464947880027934679342113007702400367652933157364447788420966661856286866118100169717444828700929,2.15097899e-167
-13.0625,1.0000002404973909121067516016309101383922487692044203683570182369950266848997880818336934489810890834906648639282318547536929121035934196106337539411653741279367467046446,2.14772236e-167
-13,1.0000002560080943455285717430807590150033965584423925979172536614928603686242474794105856777127600388270947002770092336020779701304696051650808480161696796707986926990464,2.14483393e-167
-12.9375,1.0000002725191461242059127943845851161958049634341966758624998785023179372568005482552390315632657407003810097442065437510875922953086163241580080804994699394791862997048,2.14778040e-167
-12.875,1.0000002900950623638481752708226991604295849348375206887351956947713860025850533448697576220022599851575008517506020916355071373967334576084650888502520022803775699491124,2.15060973e-167
-12.8125,1.0000003088045200043512532899085571619648032319839430543509684258931155233477753231994666261724420462518613257276449373460428821931713008011176596596247229426881198446113,2.15326107e-167
-12.75,1.0000003287206251455508071326370434559690799595059499932574104459520779911886120209018660874195951664448984258672410844993672582996104013381310562988887110061328874927196,2.15568253e-167
