lambda,pdf,cdf,1-cdf,pdf_derivative
0.75,1.5560107222369464793e-1,4.1340789653350929690e-1,5.8659210346649070310e-1,-4.0496787045759207980e-2
0.78125,1.5432993976925820962e-1,4.1825059724742724538e-1,5.8174940275257275462e-1,-4.0848884841898185944e-2
0.8125,1.5304843360286399129e-1,4.2305340972752374839e-1,5.7694659027247625161e-1,-4.1160980092917197669e-2
0.84375,1.5175777815105760084e-1,4.2781602906012040203e-1,5.7218397093987959797e-1,-4.1434708987014332766e-2
0.875,1.5045914724271732904e-1,4.3253818780148235207e-1,5.6746181219851764792e-1,-4.1671673341451376007e-2
0.90625,1.4915366520488147050e-1,4.3721965441365353339e-1,5.6278034558634646661e-1,-4.1873439251073667463e-2
0.9375,1.4784240799719152784e-1,4.4186023173515848508e-1,5.5813976826484151492e-1,-4.2041535965386291063e-2
0.96875,1.4652640437808459109e-1,4.4645975548766877105e-1,5.5354024451233122895e-1,-4.2177454976683960401e-2
1,1.4520663709640194253e-1,4.5101809281952585982e-1,5.4898190718047414017e-1,-4.2282649302576724413e-2
1.0625,1.4255951977413750429e-1,4.6001082547256943842e-1,5.3998917452743056158e-1,-4.2406480525396230218e-2
1.125,1.3990804417225925227e-1,4.6883794245045029567e-1,5.3116205754954970433e-1,-4.2423867780515057614e-2
1.1875,1.3725854086460368968e-1,4.7749937251267964154e-1,5.2250062748732035846e-1,-4.2345014931261348776e-2
1.25,1.3461672245318876186e-1,4.8599542056238026306e-1,5.1400457943761973693e-1,-4.2179494241289222762e-2
1.3125,1.3198772278720123635e-1,4.9432673025162946506e-1,5.0567326974837053494e-1,-4.1936255533087798976e-2
1.375,1.2937613544113511623e-1,5.0249424901652591508e-1,4.9750575098347408492e-1,-4.1623640537053069006e-2
1.4375,1.2678605116338530489e-1,5.1049919548629238048e-1,4.8950080451370761952e-1,-4.1249401315103007467e-2
1.5,1.2422109407147186097e-1,5.1834302919476012105e-1,4.8165697080523987895e-1,-4.0820721796536065209e-2
1.5625,1.2168445642579134498e-1,5.2602742251037822458e-1,4.7397257748962177542e-1,-4.0344241602935482097e-2
1.625,1.1917893186126847083e-1,5.3355423469190897267e-1,4.6644576530809102733e-1,-3.9826081463720806972e-2
1.6875,1.1670694699639011720e-1,5.4092548797072070918e-1,4.5907451202927929081e-1,-3.9271869635038353819e-2
1.75,1.1427059137267776398e-1,5.4814334555663845043e-1,4.5185665444336154957e-1,-3.8686768832849310540e-2
1.8125,1.1187164570547350417e-1,5.5521009146227586438e-1,4.4478990853772413562e-1,-3.8075503277222396837e-2
1.875,1.0951160844970006377e-1,5.6212811204031342377e-1,4.3787188795968657622e-1,-3.7442385519935825588e-2
1.9375,1.0719172070266646322e-1,5.6889987912901283082e-1,4.3110012087098716917e-1,-3.6791342792531108348e-2
2,1.0491298948062606683e-1,5.7552793470311284603e-1,4.2447206529688715397e-1,-3.6125942667919614292e-2
2.125,1.0048198294034004606e-1,5.8836334753367754673e-1,4.1163665246632245327e-1,-3.4764690158103187391e-2
2.25,9.6222750351119111288e-2,6.0065559115706427981e-1,3.9934440884293572019e-1,-3.3380893667143208012e-2
2.375,9.2136944121096479500e-2,6.1242626400693629948e-1,3.8757373599306370051e-1,-3.1992546016860143717e-2
2.5,8.8224200916354986620e-2,6.2369704035487186366e-1,3.7630295964512813634e-1,-3.0614006768315793288e-2
2.625,8.4482559636718838158e-2,6.3448944520421525468e-1,3.6551055479578474532e-1,-2.9256569141094533567e-2
2.75,8.0908812954807221240e-2,6.4482467718710305321e-1,3.5517532281289694678e-1,-2.7928956692188607579e-2
2.875,7.7498800933784133230e-2,6.5472347169815319032e-1,3.4527652830184680967e-1,-2.6637754243620913779e-2
3,7.4247654599601391859e-2,6.6420599752421811067e-1,3.3579400247578188932e-1,-2.5387778675324632690e-2
3.125,7.1149996605791831074e-2,6.7329178116859354034e-1,3.2670821883140645965e-1,-2.4182395682746718683e-2
3.25,6.8200105359711193808e-2,6.8199965391232063128e-1,3.1800034608767936872e-1,-2.3023788648477438817e-2
3.375,6.5392048222494208454e-2,6.9034771740374218477e-1,3.0965228259625781523e-1,-2.1913185548781598419e-2
3.5,6.2719788678318846857e-2,6.9835332422369826739e-1,3.0164667577630173261e-1,-2.0851049420440506773e-2
3.625,6.0177271707562545360e-2,7.0603307044375080265e-1,2.9396692955624919735e-1,-1.9837237428938613059e-2
3.75,5.7758491000638129416e-2,7.1340279768610982924e-1,2.8659720231389017075e-1,-1.8871133059203093395e-2
3.875,5.5457541116776898108e-2,7.2047760261457262074e-1,2.7952239738542737926e-1,-1.7951755430191128279e-2
4,5.3268657223284094017e-2,7.2727185214387559838e-1,2.7272814785612440162e-1,-1.7077849236934052652e-2
4.25,4.9204900077490977132e-2,7.4007262418495588840e-1,2.5992737581504411160e-1,-1.5460485772135633097e-2
4.5,4.5524840154086471489e-2,7.5190626740465383175e-1,2.4809373259534616825e-1,-1.4005983819781217597e-2
4.75,4.2189501453723160889e-2,7.6286376121860206382e-1,2.3713623878139793618e-1,-1.2700363297123330085e-2
5,3.9163419581290406946e-2,7.7302677994283581747e-1,2.2697322005716418253e-1,-1.1529628635769327046e-2
5.25,3.6414570738492001762e-2,7.8246856467781426818e-1,2.1753143532218573182e-1,-1.0480319602904775292e-2
5.5,3.3914194854693572361e-2,7.9125476296790098716e-1,2.0874523703209901284e-1,-9.5398234676812298788e-3
5.75,3.1636561767367110980e-2,7.9944421630620917405e-1,2.0055578369379082594e-1,-8.6965295919186351908e-3
6,2.9558712418470675203e-2,8.0708968553358234182e-1,1.9291031446641765818e-1,-7.9398823583559494654e-3
6.25,2.7660195407525405844e-2,8.1423851062645001755e-1,1.8576148937354998245e-1,-7.2603705713822085004e-3
6.5,2.5922811356501805645e-2,8.2093320540314352240e-1,1.7906679459685647759e-1,-6.6494790292239552495e-3
6.75,2.4330372261263871485e-2,8.2721199008716909778e-1,1.7278800991283090222e-1,-6.0996193425709172450e-3
7,2.2868479523695088460e-2,8.3310926599371992323e-1,1.6689073400628007676e-1,-5.6040511429683592981e-3
7.25,2.1524322111055090777e-2,8.3865603722727131178e-1,1.6134396277272868822e-1,-5.1568007787505107808e-3
7.5,2.0286494878918835976e-2,8.4388028444926438207e-1,1.5611971555073561793e-1,-4.7525818629231948219e-3
7.75,1.9144836246775616554e-2,8.4880729566857517220e-1,1.5119270433142482780e-1,-4.3867202112345294312e-3
8,1.8090283941810259988e-2,8.5345995873929337351e-1,1.4654004126070662649e-1,-4.0550845058529494643e-3
8.5,1.6210994515662290875e-2,8.6202331227050444781e-1,1.3797668772949555219e-1,-3.4803080320689123194e-3
9,1.4593623630742662391e-2,8.6971454657868979660e-1,1.3028545342131020340e-1,-3.0038200730423322519e-3
9.5,1.3194006733673910066e-2,8.7665318131159261240e-1,1.2334681868840738760e-1,-2.6064735088268323386e-3
10,1.1976487388788528718e-2,8.8293886591356384723e-1,1.1706113408643615276e-1,-2.2732078678100135184e-3
10.5,1.0912115437252013003e-2,8.8865516396347839735e-1,1.1134483603652160264e-1,-1.9921238368798521520e-3
11,9.9772518857718462731e-3,8.9387254275217786436e-1,1.0612745724782213564e-1,-1.7537728545564371048e-3
11.5,9.1524856254992540593e-3,8.9865074672038842844e-1,1.0134925327961157156e-1,-1.5506128819537536579e-3
12,8.4217890581505761247e-3,9.0304069162748761805e-1,9.6959308372512381944e-2,-1.3765912602496586676e-3
