lambda,cdf,ccdf
-3.25,9.3988454165070266131840655733177010434952582429634033624360150164e-6,9.9999060115458349297338681593442668229895650474175703659663756399e-1
-3.1875,1.7187163429946161076360306718604524225104693967722390497504748331e-5,9.9998281283657005383892363969328139547577489530603227760950249525e-1
-3.125,3.0349511101076773164259626873595119915719077504423155344808562420e-5,9.9996965048889892322683574037312640488008428092249557684465519144e-1
-3.0625,5.1859822674595218708499321209126219014507401657714048626174984567e-5,9.9994814017732540478129150067879087378098549259834228595137382502e-1
-3,8.5921266252089708849582554342763945527464525037894478396647432846e-5,9.9991407873374791029115041744565723605447253547496210552160335257e-1
-2.9375,1.3828239893416839575782133400311850254927134655235542334918153331e-4,9.9986171760106583160424217866599688149745072865344764457665081847e-1
-2.875,2.1656435992354463177759691033182278856939181388816768972528088350e-4,9.9978343564007645536822240308966817721143060818611183231027471912e-1
-2.8125,3.3057659545149060104775951950191210489421477784386104702846045462e-4,9.9966942340454850939895224048049808789510578522215613895297153955e-1
-2.75,4.9259520485740286330762677602191798256421584180450858903947385261e-4,9.9950740479514259713669237322397808201743578415819549141096052615e-1
-2.6875,7.1757698824485668831223332667010092696602603317941792231701332430e-4,9.9928242301175514331168776667332989907303397396682058207768298668e-1
-2.625,1.0232839988484889959008331954899444041477935612774960791268364993e-3,9.9897671600115151100409916680451005559585220643872250392087316350e-1
-2.5625,1.4302978148424960014852325740398016224506104269138468207652607069e-3,9.9856970218515750399851476742596019837754938957308615317923473929e-1
-2.5,1.9619094349325484409270855962415234102946134572216082383312994074e-3,9.9803809056506745155907291440375847658970538654277839176166870059e-1
-2.4375,2.6438789646942700329586802206768266543555341017315941318914297048e-3,9.9735612103530572996704131977932317334564446589826840586810857030e-1
-2.375,3.5040682146399482732753620482281180167647800567982894979944275257e-3,9.9649593178536005172672463795177188198323521994320171050200557247e-1
-2.3125,4.5719580531207376305931678552267107954672734076477855165476901305e-3,9.9542804194687926236940683214477328920453272659235221448345230987e-1
-2.25,5.8780700091531217048681175463078188369238581135690766757683022652e-3,9.9412192999084687829513188245369218116307614188643092332423169774e-1
-2.1875,7.4533175474910574722811450122938930512343132178191220057656977039e-3,9.9254668245250894252771885498770610694876568678218087799423430230e-1
-2.125,9.3283162289793919165799870789692093017447429595308109332608315073e-3,9.9067168377102060808342001292103079069825525704046918906673916849e-1
-2.0625,1.1532683471904201345438488611888441400845804008440269816362922179e-2,9.8846731652809579865456151138811155859915419599155973018363707782e-1
-2,1.4094357934148776053946531220256020181267570377416201496385341566e-2,9.8590564206585122394605346877974397981873242962258379850361465843e-1
-1.96875,1.5517299890279916454371196033367998938284291217235674442331144296e-2,9.8448270010972008354562880396663200106171570878276432555766885570e-1
-1.9375,1.7038965925726451080294377544503205940221893991389093965736366309e-2,9.8296103407427354891970562245549679405977810600861090603426363369e-1
-1.90625,1.8662105568663819941814273060580511262075092498131446382380707351e-2,9.8133789443133618005818572693941948873792490750186855361761929265e-1
-1.875,2.0389258154529440096855557418109543624067324342176126797082456071e-2,9.7961074184547055990314444258189045637593267565782387320291754393e-1
